"provincia_cod_ine","partido","votos"
4,"psoe",89295
11,"psoe",188271
14,"psoe",146761
18,"psoe",160190
21,"psoe",91656
23,"psoe",141737
29,"psoe",226831
41,"psoe",380385
22,"psoe",38101
44,"psoe",18934
50,"psoe",158326
33,"psoe",186211
7,"psoe",115567
35,"psoe",141078
38,"psoe",132518
39,"psoe",76028
2,"psoe",69848
13,"psoe",92046
16,"psoe",40670
19,"psoe",41167
45,"psoe",116282
5,"psoe",24474
9,"psoe",64182
24,"psoe",87896
34,"psoe",31847
37,"psoe",57481
40,"psoe",25233
42,"psoe",16043
47,"psoe",94384
49,"psoe",32747
8,"psoe",638319
17,"psoe",52723
25,"psoe",29983
43,"psoe",73641
6,"psoe",142312
10,"psoe",85135
15,"psoe",184178
27,"psoe",57537
32,"psoe",56934
36,"psoe",166377
28,"psoe",957401
31,"psoe",83734
1,"psoe",37488
20,"psoe",69342
48,"psoe",120566
30,"psoe",177154
26,"psoe",57485
3,"psoe",240202
12,"psoe",84078
46,"psoe",375879
51,"psoe",10455
52,"psoe",5087
4,"pp",78072
11,"pp",111089
14,"pp",99999
18,"pp",105192
21,"pp",49452
23,"pp",82055
29,"pp",163177
41,"pp",188166
22,"pp",29804
44,"pp",17520
50,"pp",119909
33,"pp",129945
7,"pp",103722
35,"pp",103375
38,"pp",93434
39,"pp",84583
2,"pp",58835
13,"pp",74835
16,"pp",33721
19,"pp",30443
45,"pp",94378
5,"pp",32527
9,"pp",61228
24,"pp",74672
34,"pp",34195
37,"pp",67715
40,"pp",28057
42,"pp",15247
47,"pp",91857
49,"pp",33495
8,"pp",225645
17,"pp",17449
25,"pp",14697
43,"pp",29923
6,"pp",92742
10,"pp",61527
15,"pp",187127
27,"pp",68530
32,"pp",67580
36,"pp",151961
28,"pp",887474
1,"pp",25506
20,"pp",23619
48,"pp",55621
30,"pp",189500
26,"pp",56450
3,"pp",207310
12,"pp",70176
46,"pp",306929
51,"pp",7439
52,"pp",9136
4,"vox",80714
11,"vox",131205
14,"vox",82534
18,"vox",99928
21,"vox",52485
23,"vox",71950
29,"vox",162280
41,"vox",188813
22,"vox",17237
44,"vox",9346
50,"vox",92353
33,"vox",88788
7,"vox",77520
35,"vox",64515
38,"vox",53491
39,"vox",48827
2,"vox",44306
13,"vox",56050
16,"vox",20108
19,"vox",31683
45,"vox",86049
5,"vox",17313
9,"vox",29579
24,"vox",40884
34,"vox",13816
37,"vox",34929
40,"vox",14569
42,"vox",6264
47,"vox",56353
49,"vox",17036
8,"vox",184715
17,"vox",18489
25,"vox",9312
43,"vox",31124
6,"vox",64016
10,"vox",35807
15,"vox",50325
27,"vox",14652
32,"vox",13285
36,"vox",38119
28,"vox",653476
31,"vox",19440
1,"vox",6421
20,"vox",7274
48,"vox",15284
30,"vox",199829
26,"vox",18908
3,"vox",167395
12,"vox",54849
46,"vox",245890
51,"vox",11752
52,"vox",5692
4,"podemos",24400
11,"podemos",93541
14,"podemos",64769
18,"podemos",59331
21,"podemos",30389
23,"podemos",35962
29,"podemos",97801
41,"podemos",153435
22,"podemos",14035
44,"podemos",3982
50,"podemos",57875
33,"podemos",89301
7,"podemos",82225
35,"podemos",74648
38,"podemos",64613
39,"podemos",28376
2,"podemos",20771
13,"podemos",22250
16,"podemos",7529
19,"podemos",14897
45,"podemos",34837
5,"podemos",6059
9,"podemos",22058
24,"podemos",27478
34,"podemos",7746
37,"podemos",13608
40,"podemos",7901
42,"podemos",3517
47,"podemos",34313
49,"podemos",7001
6,"podemos",33971
10,"podemos",20101
28,"podemos",463629
31,"podemos",55498
1,"podemos",28186
20,"podemos",57363
48,"podemos",97125
30,"podemos",63461
26,"podemos",16273
3,"podemos",108533
12,"podemos",39251
46,"podemos",191812
51,"podemos",1300
52,"podemos",809
8,"erc",618909
17,"erc",91932
25,"erc",65236
43,"erc",98782
4,"ciudadanos",22835
11,"ciudadanos",55490
14,"ciudadanos",36229
18,"ciudadanos",37772
21,"ciudadanos",18382
23,"ciudadanos",24816
29,"ciudadanos",66995
41,"ciudadanos",83575
22,"ciudadanos",9244
44,"ciudadanos",3732
50,"ciudadanos",47001
33,"ciudadanos",37374
7,"ciudadanos",33451
35,"ciudadanos",28018
38,"ciudadanos",22979
39,"ciudadanos",15609
2,"ciudadanos",15947
13,"ciudadanos",18337
16,"ciudadanos",5094
19,"ciudadanos",10169
45,"ciudadanos",24871
5,"ciudadanos",6119
9,"ciudadanos",16214
24,"ciudadanos",16731
34,"ciudadanos",5937
37,"ciudadanos",16886
40,"ciudadanos",6861
42,"ciudadanos",2670
47,"ciudadanos",26947
49,"ciudadanos",6835
8,"ciudadanos",174124
17,"ciudadanos",13869
25,"ciudadanos",7128
43,"ciudadanos",22814
6,"ciudadanos",29520
10,"ciudadanos",15533
15,"ciudadanos",28469
27,"ciudadanos",5811
32,"ciudadanos",6397
36,"ciudadanos",23984
28,"ciudadanos",323076
1,"ciudadanos",2526
20,"ciudadanos",3824
48,"ciudadanos",6929
30,"ciudadanos",53201
26,"ciudadanos",11673
3,"ciudadanos",69143
12,"ciudadanos",20302
46,"ciudadanos",106820
51,"ciudadanos",1138
52,"ciudadanos",917
8,"jxcat",343931
17,"jxcat",88060
25,"jxcat",46773
43,"jxcat",51461
8,"encomupodem",452482
17,"encomupodem",33710
25,"encomupodem",16337
43,"encomupodem",46644
1,"pnv",40262
