"station_id","name","total_bases","number","longitude","address","latitude"
1,"Puerta del Sol A",24,"1a",-3.7024255,"Puerta del Sol nº 1",40.4168961
2,"Puerta del Sol B",24,"1b",-3.7024207,"Puerta del Sol nº 1",40.4170009
3,"Miguel Moya",24,"2",-3.7058415,"Calle Miguel Moya nº 1",40.4205886
4,"Plaza Conde Suchil",18,"3",-3.7069171,"Plaza del Conde Suchil nº 2-4",40.4302937
5,"Malasaña",24,"4",-3.7025875,"Calle Manuela Malasaña nº 5",40.4285524
6,"Fuencarral",27,"5",-3.7020599,"Calle Fuencarral nº 108",40.428528
7,"Colegio Arquitectos",24,"6",-3.698447,"Calle Hortaleza nº 63",40.424148
8,"Hortaleza",21,"7",-3.6977715,"Calle Hortaleza nº 75",40.4251906
9,"Alonso Martínez",24,"8",-3.6954403,"Plaza de Alonso Martínez nº 5",40.4278682
10,"Plaza de San Miguel",24,"9",-3.7095084,"Plaza de San Miguel nº 9",40.4156057
11,"Marqués de la Ensenada",24,"10",-3.6918807,"Calle Marqués de la Ensenada nº 16",40.4250863
12,"San Andrés",24,"11",-3.7035918,"Calle San Andrés nº 18",40.4269483
13,"San Hermenegildo",24,"12",-3.7061931,"Calle San Bernardo nº 85",40.4284246
14,"Conde Duque",24,"13",-3.7104417,"Calle Conde Duque nº 22",40.4273264
15,"Ventura Rodríguez",24,"14",-3.713479,"Calle Ventura Rodríguez nº 2",40.4260957
16,"San Vicente Ferrer",21,"15",-3.7073764,"Calle San Vicente Ferrer nº 64",40.4261649
17,"San Bernardo",21,"16",-3.7075065,"Calle San Bernardo nº 22",40.4230721
18,"Carlos Cambronero",24,"17",-3.7038312,"Plaza de Carlos Cambronero nº 2",40.4232649
19,"Plaza de Pedro Zerolo",24,"18",-3.6996502,"Plaza de Pedro Zerolo",40.4207773
20,"Prim",24,"19",-3.6954983,"Calle Prim nº 2",40.4218616
21,"Banco de España A",30,"20a",-3.6954615,"Calle Alcalá nº 49",40.4192342
23,"Red de San Luis A",24,"21a",-3.7014814,"Calle Montera nº 48",40.4197872
24,"Red de San Luis B",24,"21b",-3.7015235,"Calle Montera nº 47",40.4197204
25,"Jacometrezo",24,"22",-3.7065376,"Calle Jacometrezo nº 3",40.4200783
26,"Santo Domingo",24,"23",-3.7080733,"Plaza de Santo Domingo nº 1",40.4197429
27,"Palacio de Oriente",24,"24",-3.710692,"Calle Carlos III nº 1",40.417908
28,"Plaza de Celenque A",24,"25a",-3.7064809,"Plaza de Celenque nº 1",40.4173114
29,"Plaza de Celenque B",24,"25b",-3.7063837,"Plaza de Celenque nº 1",40.4172781
30,"Plaza de las Salesas",24,"26",-3.694475,"Plaza de las Salesas 7",40.423855
31,"Huertas",24,"27",-3.6956178,"Calle Jesús nº 1",40.4132798
32,"Sevilla",24,"28",-3.69926,"Calle Alcalá nº 27",40.4181663
33,"Marqués de Cubas",24,"29",-3.6957355,"Calle del Marqués de Cubas nº 25",40.4162619
34,"San Quintín",27,"30",-3.711504,"Calle Pavía nº 6",40.4192095
35,"Calle Mayor",27,"31",-3.7068969,"Calle Mayor nº 20",40.4163638
