"fecha_defuncion","defunciones_observadas","defunciones_observadas_lim_inf","defunciones_observadas_lim_sup","defunciones_esperadas","defunciones_esperadas_q01","defunciones_esperadas_q99"
2019-08-01,999,999,999,1016,908.24,1117.62
2019-08-02,1002,1002,1002,1011,918.92,1152.18
2019-08-03,942,942,942,1026,908.24,1171.54
2019-08-04,904,904,904,1028,908.24,1192.38
2019-08-05,909,909,909,1027,905.86,1192.38
2019-08-06,984,984,984,1011,905.86,1192.38
2019-08-07,1051,1051,1051,1017,905.86,1192.38
2019-08-08,1072,1072,1072,1014.5,905.86,1192.38
2019-08-09,1037,1037,1037,1021.5,905.86,1192.38
2019-08-10,964,964,964,1013.75,910.3,1145.75
2019-08-11,919,919,919,1011,910.4,1112.88
2019-08-12,895,895,895,1011.5,914,1095.9
2019-08-13,972,972,972,1011,911.28,1095.56
2019-08-14,953,953,953,1007,911.36,1067.31
2019-08-15,1018,1018,1018,1002,911.44,1073.32
2019-08-16,902,902,902,993.75,911.52,1102.16
2019-08-17,1036,1036,1036,992,904.45,1106.99
2019-08-18,969,969,969,992,900.38,1108.37
2019-08-19,922,922,922,991,900.38,1108.37
2019-08-20,934,934,934,996,900.38,1108.37
2019-08-21,922,922,922,997,900.38,1108.37
2019-08-22,925,925,925,1000.5,900.38,1108.37
2019-08-23,966,966,966,1005,884.01,1098.62
2019-08-24,915,915,915,1003,884.01,1091.03
2019-08-25,910,910,910,1005,884.01,1086.655
2019-08-26,924,924,924,1005,884.01,1086.655
2019-08-27,947,947,947,999,884.01,1074.24
2019-08-28,910,910,910,999,884.01,1065.96
2019-08-29,947,947,947,995,884.01,1071.825
2019-08-30,990,990,990,990.5,900.42,1079.79
2019-08-31,978,978,978,986.5,896.97,1079.79
2019-09-01,815,815,815,982.5,892.83,1074.615
2019-09-02,935,935,935,977.5,892.83,1074.615
2019-09-03,940,940,940,976.5,892.83,1074.615
2019-09-04,998,998,998,976.5,892.83,1074.615
2019-09-05,990,990,990,970,892.83,1079.79
2019-09-06,950,950,950,967,890.04,1062.51
2019-09-07,889,889,889,966,871.87,1067.34
2019-09-08,900,900,900,964.5,871.87,1067.34
2019-09-09,905,905,905,965.5,871.87,1067.34
2019-09-10,971,971,971,966.5,871.87,1067.34
2019-09-11,912,912,912,965.5,862.21,1067.34
2019-09-12,950,950,950,967,862.21,1057.135
2019-09-13,1008,1008,1008,964.5,862.21,1045.06
2019-09-14,977,977,977,964.5,875.35,1027.205
2019-09-15,895,895,895,964.5,875.35,1027.825
2019-09-16,918,918,918,966,849.5,1038.58
2019-09-17,991,991,991,964.5,849.5,1041.34
2019-09-18,929,929,929,966,859.85,1053.17
2019-09-19,1010,1010,1010,967,859.85,1060.48
2019-09-20,920,920,920,969.5,859.85,1063.24
2019-09-21,941,941,941,973.5,865.37,1063.24
2019-09-22,912,912,912,983.75,875.72,1068.17
2019-09-23,916,916,916,985,893.7,1070.24
2019-09-24,954,954,954,989.25,893.7,1070.24
2019-09-25,960,960,960,991.5,890.94,1076.41
2019-09-26,940,940,940,993.5,890.94,1089.27
2019-09-27,1018,1018,1018,991.75,890.94,1094.1
2019-09-28,960,960,960,991.25,890.94,1094.1
2019-09-29,915,915,915,993.5,890.94,1094.1
2019-09-30,910,910,910,998.5,901.76,1098.24
2019-10-01,1027,1027,1027,999.5,901.76,1098.24
2019-10-02,997,997,997,1000.5,907.14,1098.24
2019-10-03,940,940,940,1005.75,907.14,1100.1
2019-10-04,987,987,987,1014.5,922.32,1100.1
2019-10-05,931,931,931,1015,930.07,1100.1
2019-10-06,873,873,873,1017,930.07,1100.1
2019-10-07,950,950,950,1019,930.07,1097.34
2019-10-08,988,988,988,1020.5,927.69,1097.34
2019-10-09,1032,1032,1032,1021.5,927.69,1100.1
2019-10-10,999,999,999,1020.5,927.69,1090.1
2019-10-11,1069,1069,1069,1015.25,927.69,1090.1
2019-10-12,1030,1030,1030,1014.25,930.45,1098.705
2019-10-13,919,919,919,1015.75,930.45,1110.715
2019-10-14,979,979,979,1018,930.45,1129.31
2019-10-15,969,969,969,1023.25,932.69,1129.31
2019-10-16,1065,1065,1065,1024,938.52,1129.31
2019-10-17,1067,1067,1067,1024.75,938.52,1129.31
2019-10-18,1046,1046,1046,1027,948.52,1129.31
2019-10-19,954,954,954,1035.5,953.52,1129.31
2019-10-20,915,915,915,1039.5,931.35,1121.72
2019-10-21,978,978,978,1038,931.35,1113.86
2019-10-22,1103,1103,1103,1037,931.35,1111.31
2019-10-23,988,988,988,1042.5,931.35,1111.31
2019-10-24,1050,1050,1050,1044,931.35,1121.3
2019-10-25,1011,1011,1011,1047,931.35,1135.79
2019-10-26,1047,1047,1047,1053.5,931.35,1135.79
2019-10-27,949,949,949,1053.5,960.25,1135.79
2019-10-28,1013,1013,1013,1058,963.35,1135.79
2019-10-29,1068,1068,1068,1065,961.97,1138.55
2019-10-30,991,991,991,1065,961.97,1138.55
2019-10-31,1054,1054,1054,1065,961.97,1141.65
2019-11-01,1106,1106,1106,1065,961.97,1147.86
2019-11-02,1097,1097,1097,1065,961.97,1147.86
2019-11-03,993,993,993,1068,961.97,1147.86
2019-11-04,1061,1061,1061,1067,966.69,1147.86
2019-11-05,1071,1071,1071,1065,973.21,1155.41
2019-11-06,1005,1005,1005,1064,973.21,1164.86
2019-11-07,1012,1012,1012,1064,979.42,1164.86
2019-11-08,1108,1108,1108,1075.25,979.42,1164.86
2019-11-09,1061,1061,1061,1077.75,979.42,1164.86
2019-11-10,1026,1026,1026,1078.75,979.42,1164.86
2019-11-11,1018,1018,1018,1088.5,987.07,1171.17
2019-11-12,1102,1102,1102,1090.5,987.07,1171.17
2019-11-13,1119,1119,1119,1099.25,994.9,1170.48
2019-11-14,1161,1161,1161,1102,993.35,1172.55
2019-11-15,1107,1107,1107,1095,993.35,1180.96
2019-11-16,1095,1095,1095,1095,999.56,1197.58
2019-11-17,1058,1058,1058,1096.5,999.56,1197.58
2019-11-18,1055,1055,1055,1097,1004.39,1197.58
2019-11-19,1152,1152,1152,1093.5,1004.39,1197.58
2019-11-20,1162,1162,1162,1095,988.52,1197.58
2019-11-21,1131,1131,1131,1099.5,1006.87,1210.31
2019-11-22,1178,1178,1178,1099.5,1011.01,1210.31
2019-11-23,1151,1151,1151,1102.5,996.865,1195.82
2019-11-24,987,987,987,1103.5,996.865,1195.82
2019-11-25,1084,1084,1084,1106,996.865,1226.19
2019-11-26,1181,1181,1181,1111.25,996.865,1226.19
2019-11-27,1145,1145,1145,1110.25,1023.995,1226.19
2019-11-28,1172,1172,1172,1122.5,1024.34,1224.81
2019-11-29,1180,1180,1180,1129.5,1024.34,1227.57
2019-11-30,1087,1087,1087,1132.5,1030.695,1242.75
2019-12-01,1061,1061,1061,1136,1027.245,1242.75
2019-12-02,1061,1061,1061,1138,1027.245,1250
2019-12-03,1135,1135,1135,1138,1027.245,1250
2019-12-04,1099,1099,1099,1144,1027.245,1250
2019-12-05,1102,1102,1102,1148,1027.245,1250
2019-12-06,1099,1099,1099,1141,1014.42,1250
2019-12-07,1046,1046,1046,1143.5,1021.665,1250
2019-12-08,1068,1068,1068,1143.5,1050.99,1272.01
2019-12-09,1091,1091,1091,1143.5,1049.61,1274.08
2019-12-10,1084,1084,1084,1151.5,1049.61,1305.82
2019-12-11,1166,1166,1166,1155,1049.61,1314.1
2019-12-12,1157,1157,1157,1159.5,1044.09,1329.99
2019-12-13,1215,1215,1215,1166,1068.52,1333.44
2019-12-14,1114,1114,1114,1177,1068.52,1333.44
2019-12-15,1104,1104,1104,1182.5,1068.52,1333.44
2019-12-16,1088,1088,1088,1187,1069.21,1333.44
2019-12-17,1086,1086,1086,1189.5,1080.94,1352.48
2019-12-18,1162,1162,1162,1192.5,1080.94,1367.92
2019-12-19,1108,1108,1108,1209,1097.97,1401.47
2019-12-20,1217,1217,1217,1206,1107.07,1415.96
2019-12-21,1130,1130,1130,1210,1105.52,1415.96
2019-12-22,1042,1042,1042,1212,1105.52,1415.96
2019-12-23,1066,1066,1066,1216.5,1096.59,1427.93
2019-12-24,1114,1114,1114,1218.5,1096.59,1456.66
2019-12-25,1080,1080,1080,1219.25,1096.59,1480.12
2019-12-26,1065,1065,1065,1245.5,1096.59,1520.03
2019-12-27,1154,1154,1154,1249.5,1096.59,1520.03
2019-12-28,1056,1056,1056,1249.5,1100.73,1520.03
2019-12-29,1038,1038,1038,1253.75,1100.73,1520.03
2019-12-30,1042,1042,1042,1253.75,1125.14,1520.72
2019-12-31,1105,1105,1105,1277,1125.14,1529.93
2020-01-01,1159,1159,1159,1279,1125.14,1564.55
2020-01-02,1224,1224,1224,1285.5,1125.14,1646.92
2020-01-03,1226,1226,1226,1284.75,1125.14,1646.92
2020-01-04,1240,1240,1240,1285.75,1109.22,1646.92
2020-01-05,1197,1197,1197,1285.75,1113.36,1646.92
2020-01-06,1166,1166,1166,1291.5,1123.71,1646.92
2020-01-07,1181,1181,1181,1298.5,1131.99,1646.92
2020-01-08,1333,1333,1333,1301.5,1131.99,1677.37
2020-01-09,1271,1271,1271,1306.5,1131.99,1632.52
2020-01-10,1376,1376,1376,1308.5,1131.99,1642.18
2020-01-11,1350,1350,1350,1332.5,1155.38,1701.27
2020-01-12,1259,1259,1259,1329,1161.52,1701.27
2020-01-13,1260,1260,1260,1331.5,1172.97,1701.27
2020-01-14,1337,1337,1337,1331.5,1154.37,1701.27
2020-01-15,1353,1353,1353,1328.5,1144.02,1682.64
2020-01-16,1332,1332,1332,1332,1144.02,1682.64
2020-01-17,1478,1478,1478,1332,1144.02,1682.64
2020-01-18,1377,1377,1377,1328.5,1144.02,1653.82
2020-01-19,1291,1291,1291,1341.5,1131.945,1653.82
2020-01-20,1231,1231,1231,1337.5,1131.945,1653.82
2020-01-21,1388,1388,1388,1338,1138.11,1646.92
2020-01-22,1388,1388,1388,1330.75,1124.69,1630.79
2020-01-23,1360,1360,1360,1330.25,1124.69,1630.79
