"anio","edad_desde","edad_hasta","rango_edad","poblacion"
1998,0,4,"0-4",1710012
1998,5,9,"5-9",2047675
1998,10,14,"10-14",2286899
1998,15,19,"15-19",2932680
1998,20,24,"20-24",3353725
1998,25,29,"25-29",3255862
1998,30,34,"30-34",3245232
1998,35,39,"35-39",3024704
1998,40,44,"40-44",2674025
1998,45,49,"45-49",2483115
1998,50,54,"50-54",2333650
1998,55,59,"55-59",1870903
1998,60,64,"60-64",2132725
1998,65,69,"65-69",2067657
1998,70,74,"70-74",1720303
1998,75,79,"75-79",1254202
1998,80,84,"80-84",801932
1998,85,89,"85-89",457565
1998,90,94,"90-94",160721
1998,95,99,"95-99",35589
1998,100,,">100",3474
1999,0,4,"0-4",1688935
1999,5,9,"5-9",2007620
1999,10,14,"10-14",2248148
1999,15,19,"15-19",2805795
1999,20,24,"20-24",3354877
1999,25,29,"25-29",3284084
1999,30,34,"30-34",3264850
1999,35,39,"35-39",3085977
1999,40,44,"40-44",2772113
1999,45,49,"45-49",2492883
1999,50,54,"50-54",2417520
1999,55,59,"55-59",1991834
1999,60,64,"60-64",2047961
1999,65,69,"65-69",2114237
1999,70,74,"70-74",1778835
1999,75,79,"75-79",1330590
1999,80,84,"80-84",823764
1999,85,89,"85-89",476735
1999,90,94,"90-94",171651
1999,95,99,"95-99",39069
1999,100,,">100",4680
2000,0,4,"0-4",1680988
2000,5,9,"5-9",1984020
2000,10,14,"10-14",2198661
2000,15,19,"15-19",2682891
2000,20,24,"20-24",3310735
2000,25,29,"25-29",3375782
2000,30,34,"30-34",3321008
2000,35,39,"35-39",3192124
2000,40,44,"40-44",2884950
2000,45,49,"45-49",2511877
2000,50,54,"50-54",2446733
2000,55,59,"55-59",2137750
2000,60,64,"60-64",1909525
2000,65,69,"65-69",2114370
2000,70,74,"70-74",1799716
2000,75,79,"75-79",1393425
2000,80,84,"80-84",830766
2000,85,89,"85-89",492338
2000,90,94,"90-94",183751
2000,95,99,"95-99",42620
2000,100,,">100",5760
2001,0,4,"0-4",1719673
2001,5,9,"5-9",1964789
2001,10,14,"10-14",2165410
2001,15,19,"15-19",2581186
2001,20,24,"20-24",3288805
2001,25,29,"25-29",3493759
2001,30,34,"30-34",3405724
2001,35,39,"35-39",3291772
2001,40,44,"40-44",3013529
2001,45,49,"45-49",2593676
2001,50,54,"50-54",2449081
2001,55,59,"55-59",2172174
2001,60,64,"60-64",1939712
2001,65,69,"65-69",2110393
2001,70,74,"70-74",1853382
2001,75,79,"75-79",1440738
2001,80,84,"80-84",873270
2001,85,89,"85-89",507174
2001,90,94,"90-94",198702
2001,95,99,"95-99",45128
2001,100,,">100",8766
2002,0,4,"0-4",1794363
2002,5,9,"5-9",1957983
2002,10,14,"10-14",2156157
2002,15,19,"15-19",2502700
2002,20,24,"20-24",3249598
2002,25,29,"25-29",3626324
2002,30,34,"30-34",3515143
2002,35,39,"35-39",3415251
2002,40,44,"40-44",3130560
2002,45,49,"45-49",2690755
2002,50,54,"50-54",2490175
2002,55,59,"55-59",2271441
2002,60,64,"60-64",1868006
2002,65,69,"65-69",2125295
2002,70,74,"70-74",1879222
2002,75,79,"75-79",1481879
2002,80,84,"80-84",917393
2002,85,89,"85-89",507618
2002,90,94,"90-94",203179
2002,95,99,"95-99",46132
2002,100,,">100",8719
2003,0,4,"0-4",1901859
2003,5,9,"5-9",1967866
2003,10,14,"10-14",2173754
2003,15,19,"15-19",2444387
2003,20,24,"20-24",3202594
2003,25,29,"25-29",3739772
2003,30,34,"30-34",3631764
2003,35,39,"35-39",3543043
2003,40,44,"40-44",3231439
2003,45,49,"45-49",2801243
2003,50,54,"50-54",2553834
2003,55,59,"55-59",2368915
2003,60,64,"60-64",1879974
2003,65,69,"65-69",2084403
2003,70,74,"70-74",1931919
2003,75,79,"75-79",1503454
2003,80,84,"80-84",978020
2003,85,89,"85-89",510743
2003,90,94,"90-94",211121
2003,95,99,"95-99",47786
2003,100,,">100",9174
2004,0,4,"0-4",1974428
