"date","hour","station_id","activate","reservations_count","free_bases","dock_bikes","no_available","light"
2019-06-01,0,1,1,0,4,15,0,1
2019-06-01,0,2,1,0,3,17,0,1
2019-06-01,0,3,1,1,19,2,0,0
2019-06-01,0,4,1,0,1,15,0,1
2019-06-01,0,5,1,0,11,11,0,2
2019-06-01,0,6,1,1,16,10,0,2
2019-06-01,0,7,1,0,15,8,0,2
2019-06-01,0,8,1,0,15,4,0,0
2019-06-01,0,9,1,0,23,0,0,0
2019-06-01,0,10,1,0,16,6,0,0
2019-06-01,0,11,1,0,23,1,0,0
2019-06-01,0,12,1,0,14,7,0,2
2019-06-01,0,13,1,0,9,13,0,2
2019-06-01,0,14,1,0,18,6,0,0
2019-06-01,0,15,1,0,21,2,0,0
2019-06-01,0,16,1,0,16,4,0,0
2019-06-01,0,17,1,1,19,0,0,0
2019-06-01,0,18,1,0,4,17,0,1
2019-06-01,0,19,1,0,7,12,0,2
2019-06-01,0,20,1,0,11,13,0,2
2019-06-01,0,21,1,0,28,1,0,0
2019-06-01,0,23,1,0,0,0,1,3
2019-06-01,0,24,1,0,0,0,1,3
2019-06-01,0,25,1,0,9,15,0,2
2019-06-01,0,26,1,0,22,1,0,0
2019-06-01,0,27,1,0,22,2,0,0
2019-06-01,0,28,1,0,15,8,0,2
2019-06-01,0,29,1,0,16,6,0,0
2019-06-01,0,30,1,0,13,11,0,2
2019-06-01,0,31,1,0,15,8,0,2
2019-06-01,0,32,1,0,0,0,1,3
2019-06-01,0,33,1,0,8,15,0,2
2019-06-01,0,34,1,0,23,1,0,0
2019-06-01,0,35,1,0,3,24,0,1
2019-06-01,0,36,1,0,3,14,0,1
2019-06-01,0,37,1,0,0,0,1,3
2019-06-01,0,38,1,1,10,11,0,2
2019-06-01,0,39,1,0,15,6,0,0
2019-06-01,0,40,1,0,24,0,0,0
2019-06-01,0,41,1,0,6,16,0,1
2019-06-01,0,42,1,0,0,24,0,1
2019-06-01,0,43,1,0,0,0,1,3
2019-06-01,0,44,1,0,7,15,0,2
2019-06-01,0,45,1,0,1,15,0,1
2019-06-01,0,46,1,0,7,15,0,2
2019-06-01,0,47,1,0,0,22,0,1
2019-06-01,0,48,1,0,1,20,0,1
2019-06-01,0,49,1,0,9,11,0,2
2019-06-01,0,50,1,0,0,23,0,1
2019-06-01,0,51,1,0,2,22,0,1
2019-06-01,0,52,1,0,3,21,0,1
2019-06-01,0,53,1,0,0,23,0,1
2019-06-01,0,54,1,0,7,17,0,1
2019-06-01,0,55,1,0,1,23,0,1
2019-06-01,0,56,1,0,0,23,0,1
2019-06-01,0,57,1,0,3,19,0,1
2019-06-01,0,58,1,0,8,12,0,2
2019-06-01,0,59,1,0,0,24,0,1
2019-06-01,0,60,1,0,12,9,0,2
2019-06-01,0,61,1,0,21,1,0,0
2019-06-01,0,62,1,0,10,11,0,2
2019-06-01,0,63,1,0,2,19,0,1
2019-06-01,0,64,1,0,22,2,0,0
2019-06-01,0,65,1,0,15,7,0,2
2019-06-01,0,66,1,0,20,2,0,0
2019-06-01,0,67,1,1,8,14,0,2
2019-06-01,0,69,1,0,20,4,0,0
2019-06-01,0,71,1,0,19,4,0,0
2019-06-01,0,72,1,0,18,2,0,0
2019-06-01,0,73,1,0,8,17,0,2
2019-06-01,0,74,1,0,12,9,0,2
2019-06-01,0,75,1,0,7,15,0,2
2019-06-01,0,76,1,1,11,10,0,2
2019-06-01,0,77,1,0,9,13,0,2
2019-06-01,0,78,1,0,4,20,0,1
2019-06-01,0,79,1,0,5,19,0,1
2019-06-01,0,80,1,0,4,20,0,1
2019-06-01,0,81,1,0,3,18,0,1
